restaurantID,name,street,restaurantZIP,#CommissionableOrders,AvgBasketSize€,#NegativeComments,#PositiveComments,%KillRate,AvgTimetoAccept(s),Month
1505,Mampf,"Herrgottwiesgasse, 51",8020,822,23.33,4,1,4.60%,15,2
1532,Pizzeria Dolce Vita,"Georgigasse, 26",8020,"1,353",19.95,3,1,5.70%,9,2
1560,China Restaurant Mond,"Harrachgasse, 12",8010,375,24.73,0,1,11.20%,20,2
1621,Asia Wok Royal,"Eggenberger Allee, 46",8020,734,25.68,8,1,7.30%,28,2
1622,Gourmet Express,"Großmarktstraße, 10",8020,410,24.18,0,1,4.40%,18,2
1642,Goldene Schwalbe Chinarestaurant,"Lagergasse, 67",8020,120,27.79,0,1,8.50%,31,2
1643,Pizza Taxi & Road Burger,"Kärntner Straße, 167",8053,835,28.07,4,1,5.10%,24,2
1667,Pizzeria Mama-Rosa,"Wiener Straße, 182 b",8051,362,18.67,9,1,8.10%,26,2
1703,China Restaurant Imperium,"Theodor-Körner-Straße, 40",8010,561,24.81,1,1,7.90%,16,2
1747,Gambaro Rosso,"St.-Peter-Hauptstraße, 61",8042,211,20.81,1,1,8.10%,20,2
1870,China Restaurant Goldener Fisch,"Fischergasse, 5",8010,335,22.93,1,1,10.60%,104,2
1936,Don Alfredo und Der Knusperwirt,"Kalvariengürtel, 1",8020,322,23.49,0,1,9.90%,20,2
2105,Pizzeria Venezia,"Annenstraße, 54",8020,81,12.9,1,1,10.90%,392,2
2108,Salz & Pfeffer,"Vinzenz-Muchitsch-Straße, 10",8020,528,25.62,2,1,8.00%,23,2
2109,Uni Pizza Graz,"Simonygasse, 49",8054,35,19.56,0,1,7.70%,40,2
2132,Side Cafe-Pizzeria,"Annenstraße, 37",8020,36,13.41,0,1,8.00%,366,2
2215,Dim Sum,"Dietrichsteinplatz, 2",8010,299,32.16,1,1,10.50%,12,2
2307,Pizza Anka,"Karlauplatz, 4",8020,80,11.5,0,1,2.90%,339,2
2627,Schnitzl Stub'n,"Glockenspielplatz, 5",8010,0,,0,0,,,2
2772,PHOENIX,"Handelstraße, 38a",8020,0,,0,0,,,2
2998,Shun Feng,"Keplerstraße, 34",8020,252,22.08,2,1,7.70%,17,2
2999,Chinahaus,"Mariatroster Straße, 14",8043,300,25.44,1,1,8.10%,14,2
3079,King Pizzeria,"Kärntner Straße, 406",8054,253,18.55,1,1,7.10%,11,2
